buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount,postal_prefix,postal_flood_risk,postal_heat_risk,priority_score,priority_level,score_age_risk,score_size_impact,score_energy_risk,score_climate_risk,score_social_vulnerability,score_floor_count_norm,score_has_basement,estimated_ges_reduction,building_age,age_category
4435,JEU D'EAU DU PARC ALPHONSE-T.-LÉPINE,"Avenue  De Gaspé , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,PLATEAU MONT-ROYAL,1995.0,124.18,124.18,124.18,,,,,0.5,0.5,27.983175908796483,Low,0.3,0.34958915786954625,0.3165297192898488,0.5,0.5,0.1,0,0.29479995406060067,29.0,20-40 ans
4436,JEU D'EAU DU PARC LHASA-DE-SELA,"Rue  Clark , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,PLATEAU MONT-ROYAL,2000.0,68.0,68.0,68.0,,,,,0.5,0.5,25.066893689113613,Low,0.3,0.3064748484562092,0.3021582828187364,0.5,0.5,0.1,0,0.15410072423755558,24.0,20-40 ans
4437,JEU D'EAU DU PARC GILLES-LEFEBVRE,"Rue  Drolet , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,PLATEAU MONT-ROYAL,2000.0,167.0,167.0,167.0,,,,,0.5,0.5,29.42363355472102,Low,0.3,0.3708848802876438,0.32362829342921456,0.5,0.5,0.1,0,0.4053444375200912,24.0,20-40 ans
4438,JEU D'EAU DU PARC MARIE-CORON,"Rue  Victor-E.-Beaupré , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,R-D-P / P-A-T,2000.0,58.42,58.42,58.42,,,,,0.5,0.5,24.33506137385588,Low,0.3,0.2956554412446076,0.29855181374820255,0.5,0.5,0.1,0,0.13081047719377495,24.0,20-40 ans
4439,JEU D'EAU DU PARC VICTORIA-GIRARD,"Rue  Jean-Leduc , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,R-D-P / P-A-T,1995.0,247.9,247.9,247.9,,,,,0.5,0.5,31.348187602936548,Low,0.3,0.3993374827680989,0.333112494256033,0.5,0.5,0.1,0,0.6193394049455293,29.0,20-40 ans
4440,JEU D'EAU DU PARC DOLLARD-MORIN,"Rue  La Valinière , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,R-D-P / P-A-T,1995.0,85.0,85.0,85.0,,,,,0.5,0.5,26.14519202812673,Low,0.3,0.3224164085405946,0.3074721361801982,0.5,0.5,0.1,0,0.19601348681487632,29.0,20-40 ans
4441,JEU D'EAU DU PARC PIERRE-BLANCHET,"Avenue  Pierre-Blanchet , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,R-D-P / P-A-T,2000.0,35.25,35.25,35.25,,,,,0.5,0.5,21.915501139583824,Low,0.3,0.2598846684845021,0.28662822282816736,0.5,0.5,0.1,0,0.07577733641019674,24.0,20-40 ans
4442,JEU D'EAU DU PARC JEAN-DUCEPPE,"Avenue du Mont-Royal , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,ROSEMONT / PETITE-PATRIE,2000.0,261.29,0.0,261.29,,,,,0.5,0.5,38.15707108469542,Low,0.3,0.5,0.3666666666666667,0.5,0.5,0.1,0,0.0,24.0,20-40 ans
4443,JEU D'EAU DU PARC SAINT-ÉDOUARD,"Rue  Saint-André , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,ROSEMONT / PETITE-PATRIE,1980.0,29.21,0.0,29.21,,,,,0.5,0.5,49.752620256315,Medium,0.6,0.5,0.46666666666666673,0.5,0.5,0.1,0,0.0,44.0,40-60 ans
4444,JEU D'EAU DU PARC LAURIER-CHARLEMAGNE,"Avenue  Laurier E, Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,ROSEMONT / PETITE-PATRIE,1995.0,19.64,19.64,19.64,,,,,0.5,0.5,19.158034089341868,Low,0.3,0.21911828215919563,0.2730394273863985,0.5,0.5,0.1,0,0.0402187076540165,29.0,20-40 ans
